Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Conn_JST","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",227.449250,-76.234000,-90.000000,top
"SW1","SW_Push","SW_Cherry_MX_1.00u_PCB",90.924250,-38.769000,0.000000,top
"SW2","SW_Push","SW_Cherry_MX_1.00u_PCB",90.924250,-57.819000,0.000000,top
"SW3","SW_Push","SW_Cherry_MX_1.00u_PCB",90.924250,-76.869000,0.000000,top
"SW4","SW_Push","SW_Cherry_MX_1.00u_PCB",90.924250,-95.919000,0.000000,top
"SW5","SW_Push","SW_Cherry_MX_1.00u_PCB",90.924250,-114.969000,0.000000,top
"SW6","SW_Push","SW_Cherry_MX_1.00u_PCB",109.974250,-38.769000,0.000000,top
"SW7","SW_Push","SW_Cherry_MX_1.00u_PCB",109.974250,-57.819000,0.000000,top
"SW8","SW_Push","SW_Cherry_MX_1.00u_PCB",109.974250,-76.869000,0.000000,top
"SW9","SW_Push","SW_Cherry_MX_1.00u_PCB",109.974250,-95.919000,0.000000,top
"SW10","SW_Push","SW_Cherry_MX_1.00u_PCB",109.974250,-114.969000,0.000000,top
"SW11","SW_Push","SW_Cherry_MX_1.00u_PCB",129.024250,-38.769000,0.000000,top
"SW12","SW_Push","SW_Cherry_MX_1.00u_PCB",129.024250,-57.819000,0.000000,top
"SW13","SW_Push","SW_Cherry_MX_1.00u_PCB",129.024250,-76.869000,0.000000,top
"SW14","SW_Push","SW_Cherry_MX_1.00u_PCB",129.024250,-95.919000,0.000000,top
"SW15","SW_Push","SW_Cherry_MX_1.00u_PCB",129.024250,-114.969000,0.000000,top
"SW16","SW_Push","SW_Cherry_MX_1.00u_PCB",148.074250,-38.769000,0.000000,top
"SW17","SW_Push","SW_Cherry_MX_1.00u_PCB",148.074250,-57.819000,0.000000,top
"SW18","SW_Push","SW_Cherry_MX_1.00u_PCB",148.074250,-76.869000,0.000000,top
"SW19","SW_Push","SW_Cherry_MX_1.00u_PCB",148.074250,-95.919000,0.000000,top
"SW20","SW_Push","SW_Cherry_MX_1.00u_PCB",148.074250,-114.969000,0.000000,top
"SW21","SW_Push","SW_Cherry_MX_1.00u_PCB",167.124250,-38.769000,0.000000,top
"SW22","SW_Push","SW_Cherry_MX_1.00u_PCB",167.124250,-57.819000,0.000000,top
"SW23","SW_Push","SW_Cherry_MX_1.00u_PCB",167.124250,-76.869000,0.000000,top
"SW24","SW_Push","SW_Cherry_MX_1.00u_PCB",167.124250,-95.919000,0.000000,top
"SW25","SW_Push","SW_Cherry_MX_1.00u_PCB",167.124250,-114.969000,0.000000,top
"SW26","SW_Push","SW_Cherry_MX_1.00u_PCB",186.174250,-38.769000,0.000000,top
"SW27","SW_Push","SW_Cherry_MX_1.00u_PCB",186.174250,-57.819000,0.000000,top
"SW28","SW_Push","SW_Cherry_MX_1.00u_PCB",186.174250,-76.869000,0.000000,top
"SW29","SW_Push","SW_Cherry_MX_1.00u_PCB",186.174250,-95.919000,0.000000,top
"SW30","SW_Push","SW_Cherry_MX_1.50u_PCB",184.985984,-125.648879,65.000000,top
"SW31","SW_Push","SW_Cherry_MX_1.00u_PCB",205.224250,-38.769000,0.000000,top
"SW32","SW_Push","SW_Cherry_MX_1.00u_PCB",205.224250,-57.819000,0.000000,top
"SW33","SW_Push","SW_Cherry_MX_1.00u_PCB",205.224250,-76.869000,0.000000,top
"SW34","SW_Push","SW_Cherry_MX_1.50u_PCB",202.251149,-133.699758,65.000000,top
"SW35","SW_Push","SW_Cherry_MX_1.00u_PCB",225.483108,-146.985257,-25.000000,top
"SW36","SW_Push_Reset","SW_SPST_B3U-1000P",202.684250,-100.999000,180.000000,top
"SW37","SW_Slide_Bat","SW_SPDT_PCM12",219.829250,-41.182000,180.000000,top
